0         0.
1         0.
2         0.
3         0.
4         0.
5         0.
6         0.
7         0.
8         207.
9         207.
10        259.
11        207.
12        311.
13        363.
14        415.
15        518.
16        725.
17        1036.
18        1399.
19        1917.
20        2539.
21        3109.
22        3679.
23        4249.
24        4871.
25        5493.
26        6218.
27        6788.
28        7358.
29        7876.
30        8446.
31        8861.
32        9327.
33        9742.
34        10053.
35        10312.
36        10416.
37        10519.
38        10571.
39        10571.
40        10519.
41        10467.
42        10312.
43        10053.
44        9794.
45        9535.
46        9276.
47        9120.
48        8861.
49        8654.
50        8395.
51        8187.
52        7928.
53        7721.
54        7514.
55        7358.
56        7151.
57        6996.
58        12437.
59        9327.
60        22282.
61        6218.
62        6063.
63        5959.
64        5804.
65        5648.
66        5545.
67        5389.
68        10364.
69        5441.
70        6218.
71        4094.
72        3938.
73        3835.
74        3731.
75        3576.
76        3472.
77        3368.
78        3265.
79        3109.
80        3005.
81        2902.
82        2798.
83        2695.
84        2591.
85        2487.
86        2384.
87        2280.
88        2176.
89        2073.
90        1969.
91        1865.
92        1762.
93        1658.
94        1555.
95        1451.
96        1347.
97        1244.
98        1140.
99        1036.
100       881.
101       725.
102       622.
103       518.
104       415.
105       363.
106       259.
107       155.
108       104.
109       52.
110       0.
