0       0.
1       0.
2       0.
3       0.
4       0.
5       0.
6       0.
7       152.
8       203.
9       152.
10      177.
11      152.
12      177.
13      329.
14      583.
15      1089.
16      1874.
17      2913.
18      4078.
19      5268.
20      6434.
21      7725.
22      8764.
23      9701.
24      10410.
25      11449.
26      11651.
27      11803.
28      11803.
29      11803.
30      11778.
31      11651.
32      11297.
33      10892.
34      10334.
35      9625.
36      9119.
37      8612.
38      7953.
39      7345.
40      6434.
41      5775.
42      5193.
43      4483.
44      3799.
45      3090.
46      2330.
47      1418.
48      760.
49      152.
50      0.
