1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 103
37 148,5
38 194
39 276
40 358
41 464
42 570
43 742,5
44 915
45 1121,5
46 1328
47 1605
48 1882
49 2148
50 2414
51 2711,5
52 3009
53 3315,5
54 3622
55 4091
56 4560
57 14387,5
58 24215
59 23688,5
60 23162
61 14467
62 5772
63 6023
64 6274
65 9807
66 13340
67 14817,5
68 16295
69 12003,5
70 7712
71 6669,5
72 5627
73 5780,5
74 5934
75 6052
76 6170
77 6285,5
78 6401
79 6499
80 6597
81 6669,5
82 6742
83 6800,5
84 6859
85 6900,5
86 6942
87 6983,5
88 7025
89 7029
90 7033
91 7061
92 7089
93 7053,5
94 7018
95 7018
96 7018
97 7040,5
98 7063
99 7025,5
100 6988
101 6960
102 6932
103 6899
104 6866
105 6838,5
106 6811
107 6761,5
108 6712
109 6677
110 6642
111 6591
112 6540
113 6490
114 6440
115 6412,5
116 6385
117 6305,5
118 6226
119 6198
120 6170
121 6083,5
122 5997
123 5924
124 5851
125 5803,5
126 5756
127 5701
128 5646
129 5561
130 5476
131 5416,5
132 5357
133 5313,5
134 5270
135 5159,5
136 5049
137 5007
138 4965
139 4895,5
140 4826
141 4788
142 4750
143 4697
144 4644
145 4545,5
146 4447
147 4447
148 4447
149 4384
150 4321
151 4260,5
152 4200
153 4162,5
154 4125
155 4064,5
156 4004
157 3965
158 3926
159 3879,5
160 3833
161 3768,5
162 3704
163 3699,5
164 3695
165 3623,5
166 3552
167 3531
168 3510
169 3451,5
170 3393
171 3369
172 3345
173 3306
174 3267
175 3247
176 3227
177 3165,5
178 3104
179 3087,5
180 3071
181 3016
182 2961
183 2931,5
184 2902
185 2876,5
186 2851
187 2845
188 2839
189 2797
190 2755
191 2725,5
192 2696
193 2662,5
194 2629
195 2592
196 2555
197 2542,5
198 2530
199 2513
200 2496
201 2438,5
202 2381
203 2369
204 2357
205 2340,5
206 2324
207 2277
208 2230
209 2229
210 2228
211 2181
212 2134
213 2116,5
214 2099
215 2085,5
216 2072
217 2050,5
218 2029
219 1980,5
220 1932
221 1948
222 1964
223 1897,5
224 1831
225 1808
226 1785
227 1740,5
228 1696
229 1678
230 1660
231 1664
232 1668
233 1639,5
234 1611
235 1576,5
236 1542
237 1515,5
238 1489
239 1486,5
240 1484
241 1447
242 1410
243 1376
244 1342
245 1321,5
246 1301
247 1276,5
248 1252
249 1243,5
250 1235
251 1198
252 1161
253 1123
254 1085
255 1068,5
256 1052
257 1034,5
258 1017
259 986,5
260 956
261 927
262 898
263 884,5
264 871
265 856,5
266 842
267 797
268 752
269 743
270 734
271 717,5
272 701
273 687
274 673
275 633
276 593
277 568
278 543
279 516,5
280 490
281 470,5
282 451
283 450,5
284 450
285 424,5
286 399
287 370
288 341
289 316
290 291
291 266
292 241
293 215,5
294 190
295 166
296 142
297 118
298 94
299 70
300 46
