0          0.
1          0.
2          0.
3          0.
4          0.
5          0.
6          0.
7          102.
8          459.
9          459.
10         357.
11         357.
12         408.
13         459.
14         561.
15         968.
16         1580.
17         2599.
18         3771.
19         4791.
20         5810.
21         7135.
22         8409.
23         9428.
24         10702.
25         11976.
26         12996.
27         13760.
28         14575.
29         15085.
30         15595.
31         15901.
32         16206.
33         16257.
34         16308.
35         16308.
36         16257.
37         16206.
38         16005.
39         15697.
40         15391.
41         14983.
42         14219.
43         13505.
44         12792.
45         12231.
46         11620.
47         10906.
48         10193.
49         9683.
50         8868.
51         8409.
52         7797.
53         7288.
54         6829.
55         6370.
56         6014.
57         5198.
58         4689.
59         4332.
60         4689.
61         3415.
62         3058.
63         2650.
64         2293.
65         1784.
66         1376.
67         1019.
68         612.
69         306.
70         0.
