0        0.
1        0.
2        0.
3        0.
4        0.
5        0.
6        0.
7        0.
8        310.
9        310.
10       310.
11       361.
12       413.
13       465.
14       516.
15       723.
16       1136.
17       1652.
18       2582.
19       3356.
20       4131.
21       4957.
22       5783.
23       6713.
24       7487.
25       8262.
26       8882.
27       9708.
28       10413.
29       10947.
30       11463.
31       12135.
32       12496.
33       12909.
34       13219.
35       13322.
36       13426.
37       13426.
38       13374.
39       13271.
40       13167.
41       12909.
42       12496.
43       12135.
44       11670.
45       11360.
46       10844.
47       10379.
48       10018.
49       9708.
50       9295.
51       8933.
52       8520.
53       8262.
54       7900.
55       7487.
56       7229.
57       7023.
58       9295.
59       7229.
60       12393.
61       5783.
62       5474.
63       5164.
64       4906.
65       4699.
66       4337.
67       4131.
68       6196.
69       3615.
70       4337.
71       2892.
72       2633.
73       2427.
74       2272.
75       2065.
76       1859.
77       1704.
78       1549.
79       1394.
80       1188.
81       929.
82       826.
83       723.
84       620.
85       516.
86       413.
87       310.
88       207.
89       103.
90       0.
