4.13	0.19
3.74	0.21
3.40	0.21
3.13	0.25
2.90	0.28
2.69	0.33
2.52	0.30
2.37	0.36
2.23	0.33
2.11	0.30
2.00	0.28
1.90	0.26
1.81	0.25
1.73	0.25
1.66	0.26
1.59	0.26
1.53	0.25
